,ID,Bezirk,Einwohnerzahl,Fläche / km^2,Einwohner / km^2
0,1.,SK Berlin Mitte,385748,"39,47",9.733
1,2.,SK Berlin Friedrichshain-Kreuzberg,290386,"20,34",14.246
2,3.,SK Berlin Pankow,409335,"103,07",3.956
3,4.,SK Berlin Charlottenburg-Wilmersdorf,343592,"64,72",5.289
4,5.,SK Berlin Spandau,245197,"91,87",2.656
5,6.,SK Berlin Steglitz-Zehlendorf,310071,"102,56",3.010
6,7.,SK Berlin Tempelhof-Schöneberg,350984,"53,10",6.622
7,8.,SK Berlin Neukölln,329917,"44,93",7.338
8,9.,SK Berlin Treptow-Köpenick,273689,"168,42",1.610
9,10.,SK Berlin Marzahn-Hellersdorf,269967,"61,78",4.347
10,11.,SK Berlin Lichtenberg,294201,"52,12",5.592
11,12.,SK Berlin Reinickendorf,266408,"89,31",2.970
